id,title,description,availability,condition,price,link,image_link,brand,google_product_category
CKR001,Vestido en Seda Verde Asimétrico,Vestido en Seda Verde Asimétrico. Precio de liquidacion SALE 50% OFF (Antes: $280.000). Moda femenina premium CKR Boutique 2026. Envios a todo Colombia.,in stock,new,140000 COP,https://ckrnow.com,https://lh3.googleusercontent.com/d/1ZE384AhaRp2Gu7OgtoAudxhJDPlzrcmz,CKR Boutique,Apparel & Accessories > Clothing > Dresses
CKR002,Vestido en Seda Fucsia Drapeado,Vestido en Seda Fucsia Drapeado. Precio de liquidacion SALE 50% OFF (Antes: $320.000). Moda femenina premium CKR Boutique 2026. Envios a todo Colombia.,in stock,new,160000 COP,https://ckrnow.com,https://lh3.googleusercontent.com/d/1Gdj3hdMeNNZcYObLF8hn9rtMnDayw82q,CKR Boutique,Apparel & Accessories > Clothing > Dresses
CKR003,Vestido Verde Lima Asimétrico,Vestido Verde Lima Asimétrico. Precio de liquidacion SALE 50% OFF (Antes: $320.000). Moda femenina premium CKR Boutique 2026. Envios a todo Colombia.,in stock,new,160000 COP,https://ckrnow.com,https://lh3.googleusercontent.com/d/12ECJQstryTWDewooNwbzY-2VUr0828wG,CKR Boutique,Apparel & Accessories > Clothing > Dresses
CKR004,Vestido Corto Verde Lima,Vestido Corto Verde Lima. Precio de liquidacion SALE 50% OFF (Antes: $240.000). Moda femenina premium CKR Boutique 2026. Envios a todo Colombia.,in stock,new,120000 COP,https://ckrnow.com,https://lh3.googleusercontent.com/d/1CURCOcV2Fo9NmTq20Wj_rC-w3f6PHmNl,CKR Boutique,Apparel & Accessories > Clothing > Dresses
CKR005,Set Pantalón y Top Verde Menta,Set Pantalón y Top Verde Menta. Precio de liquidacion SALE 50% OFF (Antes: $240.000). Moda femenina premium CKR Boutique 2026. Envios a todo Colombia.,in stock,new,120000 COP,https://ckrnow.com,https://lh3.googleusercontent.com/d/1DzZUtjaTOY1U5U1V-R6nXvWPxacepM6J,CKR Boutique,Apparel & Accessories > Clothing > Pants
CKR006,Set Short y Top Azul Tie Dye,Set Short y Top Azul Tie Dye. Precio de liquidacion SALE 50% OFF (Antes: $320.000). Moda femenina premium CKR Boutique 2026. Envios a todo Colombia.,in stock,new,160000 COP,https://ckrnow.com,https://lh3.googleusercontent.com/d/1OyP_FHOnEB8z-G56p8QftOKhXlc_8txo,CKR Boutique,Apparel & Accessories > Clothing > Shorts
CKR007,Set Short y Top Lila,Set Short y Top Lila. Precio de liquidacion SALE 50% OFF (Antes: $160.000). Moda femenina premium CKR Boutique 2026. Envios a todo Colombia.,in stock,new,80000 COP,https://ckrnow.com,https://lh3.googleusercontent.com/d/1mSMn4z0dI9CO2ngcejJl_4rz63qSTbk5,CKR Boutique,Apparel & Accessories > Clothing > Shorts
CKR008,Falda Lápiz con Abertura Azul Rey,Falda Lápiz con Abertura Azul Rey. Precio de liquidacion SALE 50% OFF (Antes: $160.000). Moda femenina premium CKR Boutique 2026. Envios a todo Colombia.,in stock,new,80000 COP,https://ckrnow.com,https://lh3.googleusercontent.com/d/1vVM67SYoYGjMfr1HrE1mEGRdGiQRJHQ3,CKR Boutique,Apparel & Accessories > Clothing > Skirts
CKR009,Falda Naranja en Lino,Falda Naranja en Lino. Precio de liquidacion SALE 50% OFF (Antes: $180.000). Moda femenina premium CKR Boutique 2026. Envios a todo Colombia.,in stock,new,90000 COP,https://ckrnow.com,https://lh3.googleusercontent.com/d/1oISFVcrDAdRYRqEwkci2sykh8cNZvd8l,CKR Boutique,Apparel & Accessories > Clothing > Skirts
CKR010,Pantalón Rojo Tiro Medio,Pantalón Rojo Tiro Medio. Precio de liquidacion SALE 50% OFF (Antes: $220.000). Moda femenina premium CKR Boutique 2026. Envios a todo Colombia.,in stock,new,110000 COP,https://ckrnow.com,https://lh3.googleusercontent.com/d/16G1TfcDH2gE_x0W2hzN8R_R2srrKR2Be,CKR Boutique,Apparel & Accessories > Clothing > Pants
